Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating
ID0048,01-01-2015 17:13,Martha,Washing Machine,N,N,0,0 days 00:00:00,0
ID0049,01-01-2015 17:25,Joe,Air Conditioner,Y,Y,104,0 days 00:03:35,5
ID0050,01-01-2015 17:25,Dan,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0051,01-01-2015 17:35,Martha,Washing Machine,N,N,0,0 days 00:00:00,0
ID0052,01-01-2015 17:35,Jim,Fridge,N,N,0,0 days 00:00:00,0
ID0053,01-01-2015 17:36,Stewart,Toaster,Y,Y,13,0 days 00:01:15,5
ID0054,01-01-2015 17:36,Dan,Toaster,Y,Y,119,0 days 00:02:32,5
ID0055,01-01-2015 17:44,Becky,Television,Y,Y,35,0 days 00:01:19,3
ID0056,01-01-2015 17:44,Dan,Television,Y,Y,83,0 days 00:06:45,4
ID0057,01-01-2015 17:57,Jim,Air Conditioner,Y,Y,48,0 days 00:02:52,2
ID0058,01-01-2015 17:57,Stewart,Fridge,Y,Y,45,0 days 00:03:23,5
ID0059,02-01-2015 09:05,Dan,Air Conditioner,Y,Y,65,0 days 00:06:00,5
ID0060,02-01-2015 09:05,Dan,Washing Machine,Y,Y,50,0 days 00:04:26,3
ID0061,02-01-2015 09:18,Diane,Television,Y,Y,17,0 days 00:06:15,3
ID0062,02-01-2015 09:18,Joe,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0063,02-01-2015 09:20,Dan,Television,Y,Y,96,0 days 00:06:46,1
ID0064,02-01-2015 09:20,Stewart,Television,Y,Y,90,0 days 00:06:23,3
ID0065,02-01-2015 09:38,Jim,Washing Machine,Y,Y,98,0 days 00:06:25,2
ID0066,02-01-2015 09:38,Diane,Air Conditioner,Y,N,90,0 days 00:01:23,4
ID0067,02-01-2015 10:04,Jim,Washing Machine,Y,Y,98,0 days 00:05:49,5
ID0068,02-01-2015 10:04,Jim,Washing Machine,Y,Y,70,0 days 00:03:12,5
ID0069,02-01-2015 10:33,Diane,Washing Machine,Y,Y,69,0 days 00:04:45,4
ID0070,02-01-2015 10:33,Diane,Fridge,N,N,0,0 days 00:00:00,0
ID0071,02-01-2015 11:08,Joe,Air Conditioner,Y,Y,120,0 days 00:02:11,4
ID0072,02-01-2015 11:08,Stewart,Fridge,Y,Y,113,0 days 00:05:51,5
ID0073,02-01-2015 11:26,Greg,Toaster,Y,N,10,0 days 00:02:19,5
ID0074,02-01-2015 11:26,Becky,Washing Machine,Y,Y,122,0 days 00:04:53,1
ID0075,02-01-2015 11:42,Stewart,Air Conditioner,Y,N,125,0 days 00:01:38,3
ID0076,02-01-2015 11:42,Diane,Fridge,N,N,0,0 days 00:00:00,0
ID0077,02-01-2015 11:47,Martha,Air Conditioner,Y,Y,33,0 days 00:06:38,2
ID0078,02-01-2015 11:47,Dan,Washing Machine,Y,Y,51,0 days 00:06:22,2
ID0079,02-01-2015 11:54,Becky,Washing Machine,Y,Y,58,0 days 00:03:28,3
ID0080,02-01-2015 11:54,Dan,Fridge,Y,Y,121,0 days 00:04:47,5
ID0081,02-01-2015 12:00,Diane,Fridge,Y,Y,118,0 days 00:02:06,4
ID0082,02-01-2015 12:00,Greg,Toaster,Y,Y,52,0 days 00:06:56,4
ID0083,02-01-2015 12:20,Stewart,Fridge,Y,Y,55,0 days 00:04:44,3
ID0084,02-01-2015 12:20,Dan,Washing Machine,Y,Y,68,0 days 00:05:59,4
ID0085,02-01-2015 12:41,Becky,Air Conditioner,Y,Y,106,0 days 00:04:22,5
ID0086,02-01-2015 12:41,Martha,Air Conditioner,Y,Y,32,0 days 00:04:36,3
ID0087,02-01-2015 12:44,Jim,Toaster,N,N,0,0 days 00:00:00,0
ID0088,02-01-2015 12:44,Martha,Fridge,Y,N,45,0 days 00:01:26,4
ID0089,02-01-2015 12:59,Joe,Air Conditioner,Y,Y,119,0 days 00:03:32,4
ID0090,02-01-2015 12:59,Dan,Television,N,N,0,0 days 00:00:00,0
ID0091,02-01-2015 13:03,Jim,Washing Machine,Y,Y,46,0 days 00:05:41,1
ID0092,02-01-2015 13:03,Stewart,Air Conditioner,Y,Y,101,0 days 00:01:28,3
ID0093,02-01-2015 13:04,Jim,Air Conditioner,Y,Y,56,0 days 00:02:52,3
ID0094,02-01-2015 13:04,Becky,Air Conditioner,Y,Y,80,0 days 00:00:53,3
ID0095,02-01-2015 13:13,Diane,Television,Y,Y,24,0 days 00:01:36,3
ID0096,02-01-2015 13:13,Stewart,Toaster,Y,Y,113,0 days 00:03:54,2
ID0097,02-01-2015 13:20,Greg,Washing Machine,Y,Y,19,0 days 00:02:03,4
ID0098,02-01-2015 13:20,Martha,Television,N,N,0,0 days 00:00:00,0
ID0099,02-01-2015 13:20,Dan,Washing Machine,Y,Y,45,0 days 00:06:37,3
ID0100,02-01-2015 13:20,Diane,Air Conditioner,Y,Y,95,0 days 00:05:11,1
ID0101,02-01-2015 13:45,Becky,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0102,02-01-2015 13:45,Martha,Air Conditioner,Y,N,79,0 days 00:05:31,1
ID0103,02-01-2015 13:49,Diane,Toaster,Y,Y,22,0 days 00:03:56,2
ID0104,02-01-2015 13:49,Martha,Washing Machine,Y,Y,38,0 days 00:06:36,1
ID0105,02-01-2015 13:53,Becky,Air Conditioner,Y,Y,112,0 days 00:03:25,5
ID0106,02-01-2015 13:53,Becky,Toaster,Y,Y,65,0 days 00:04:57,3
ID0107,02-01-2015 14:22,Joe,Television,N,N,0,0 days 00:00:00,0
ID0108,02-01-2015 14:22,Becky,Washing Machine,Y,N,55,0 days 00:02:32,1
ID0109,02-01-2015 14:52,Stewart,Fridge,N,N,0,0 days 00:00:00,0
ID0110,02-01-2015 14:52,Joe,Television,Y,Y,19,0 days 00:02:38,2
ID0111,02-01-2015 15:10,Becky,Air Conditioner,Y,Y,53,0 days 00:00:56,3
ID0112,02-01-2015 15:10,Diane,Air Conditioner,Y,Y,24,0 days 00:06:06,5
ID0113,02-01-2015 15:36,Martha,Television,Y,Y,73,0 days 00:06:01,3
ID0114,02-01-2015 15:36,Stewart,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0115,02-01-2015 17:36,Jim,Air Conditioner,Y,Y,55,0 days 00:05:47,5
ID0116,02-01-2015 17:36,Greg,Toaster,N,N,0,0 days 00:00:00,0
ID0117,02-01-2015 17:47,Diane,Television,N,N,0,0 days 00:00:00,0
ID0118,02-01-2015 17:47,Martha,Television,Y,Y,23,0 days 00:05:18,4
ID0119,03-01-2015 09:10,Dan,Toaster,Y,N,124,0 days 00:02:23,5
ID0120,03-01-2015 09:10,Dan,Washing Machine,N,N,0,0 days 00:00:00,0
ID0121,03-01-2015 09:47,Dan,Air Conditioner,Y,Y,103,0 days 00:01:01,4
ID0122,03-01-2015 09:47,Martha,Washing Machine,Y,Y,69,0 days 00:03:45,4
ID0123,03-01-2015 10:29,Joe,Television,Y,Y,78,0 days 00:01:12,3
ID0124,03-01-2015 10:29,Martha,Air Conditioner,Y,Y,78,0 days 00:03:26,5
ID0125,03-01-2015 10:37,Martha,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0126,03-01-2015 10:37,Diane,Toaster,Y,Y,44,0 days 00:05:38,4
ID0127,03-01-2015 10:52,Martha,Fridge,Y,Y,35,0 days 00:02:46,4
ID0128,03-01-2015 10:52,Becky,Fridge,Y,Y,102,0 days 00:05:26,4
ID0129,03-01-2015 10:52,Jim,Washing Machine,Y,Y,99,0 days 00:05:51,3
ID0130,03-01-2015 10:52,Jim,Fridge,Y,Y,29,0 days 00:04:09,3
ID0131,03-01-2015 10:58,Becky,Fridge,Y,N,42,0 days 00:00:59,5
ID0132,03-01-2015 10:58,Diane,Toaster,Y,Y,113,0 days 00:05:40,4
ID0133,03-01-2015 11:02,Dan,Fridge,Y,Y,124,0 days 00:00:53,2
ID0134,03-01-2015 11:02,Jim,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0135,03-01-2015 11:03,Dan,Toaster,Y,Y,55,0 days 00:02:13,1
ID0136,03-01-2015 11:03,Greg,Air Conditioner,Y,N,105,0 days 00:05:59,3
ID0137,03-01-2015 11:06,Stewart,Washing Machine,Y,N,112,0 days 00:03:12,5
ID0138,03-01-2015 11:06,Martha,Washing Machine,N,N,0,0 days 00:00:00,0
ID0139,03-01-2015 11:16,Becky,Air Conditioner,Y,Y,43,0 days 00:06:20,5
ID0140,03-01-2015 11:16,Joe,Toaster,Y,Y,20,0 days 00:01:44,3
ID0141,03-01-2015 11:26,Greg,Air Conditioner,Y,Y,84,0 days 00:01:43,5
ID0142,03-01-2015 11:26,Jim,Washing Machine,Y,Y,20,0 days 00:02:44,4
ID0143,03-01-2015 11:38,Greg,Television,Y,Y,101,0 days 00:02:16,3
ID0144,03-01-2015 11:38,Diane,Air Conditioner,Y,Y,31,0 days 00:02:55,5
ID0145,03-01-2015 11:52,Jim,Washing Machine,Y,Y,56,0 days 00:04:09,5
ID0146,03-01-2015 11:52,Joe,Washing Machine,N,N,0,0 days 00:00:00,0
ID0147,03-01-2015 11:55,Joe,Toaster,Y,Y,77,0 days 00:01:27,5
ID0148,03-01-2015 11:55,Jim,Toaster,Y,Y,46,0 days 00:00:50,4
ID0149,03-01-2015 11:58,Stewart,Fridge,Y,Y,88,0 days 00:04:26,3
ID0150,03-01-2015 11:58,Diane,Toaster,Y,Y,88,0 days 00:00:58,1
ID0151,03-01-2015 12:33,Joe,Air Conditioner,Y,Y,124,0 days 00:06:03,1
ID0152,03-01-2015 12:33,Stewart,Washing Machine,N,N,0,0 days 00:00:00,0
ID0153,03-01-2015 12:54,Martha,Toaster,Y,N,52,0 days 00:06:59,4
ID0154,03-01-2015 12:54,Joe,Fridge,Y,Y,67,0 days 00:06:10,5
ID0155,03-01-2015 13:12,Martha,Toaster,Y,Y,119,0 days 00:04:16,3
ID0156,03-01-2015 13:12,Dan,Fridge,Y,Y,98,0 days 00:04:37,2
ID0157,03-01-2015 13:14,Jim,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0158,03-01-2015 13:14,Joe,Air Conditioner,Y,Y,118,0 days 00:04:18,3
ID0159,03-01-2015 13:27,Becky,Fridge,Y,Y,123,0 days 00:01:15,3
ID0160,03-01-2015 13:27,Becky,Television,Y,N,86,0 days 00:05:37,1
ID0161,03-01-2015 13:35,Greg,Fridge,Y,Y,104,0 days 00:02:09,3
ID0162,03-01-2015 13:35,Greg,Toaster,Y,Y,69,0 days 00:01:33,2
ID0163,03-01-2015 13:58,Dan,Washing Machine,Y,Y,113,0 days 00:02:38,1
ID0164,03-01-2015 13:58,Joe,Television,Y,Y,88,0 days 00:03:23,5
ID0165,03-01-2015 13:58,Joe,Television,N,N,0,0 days 00:00:00,0
ID0166,03-01-2015 13:58,Stewart,Toaster,N,N,0,0 days 00:00:00,0
ID0167,03-01-2015 14:03,Joe,Toaster,Y,Y,84,0 days 00:00:58,2
ID0168,03-01-2015 14:03,Diane,Television,Y,Y,113,0 days 00:01:22,3
ID0169,03-01-2015 14:47,Joe,Television,Y,Y,38,0 days 00:05:31,4
ID0170,03-01-2015 14:47,Dan,Television,Y,Y,14,0 days 00:06:14,4
ID0171,03-01-2015 15:34,Martha,Television,Y,N,25,0 days 00:05:32,4
ID0172,03-01-2015 15:34,Dan,Washing Machine,N,N,0,0 days 00:00:00,0
ID0173,03-01-2015 16:29,Diane,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0174,03-01-2015 16:29,Joe,Toaster,Y,Y,117,0 days 00:02:07,4
ID0175,03-01-2015 17:31,Stewart,Toaster,Y,N,57,0 days 00:06:01,2
ID0176,03-01-2015 17:31,Martha,Air Conditioner,Y,Y,119,0 days 00:05:19,5
ID0177,04-01-2015 09:01,Martha,Washing Machine,N,N,0,0 days 00:00:00,0
ID0178,04-01-2015 09:01,Diane,Television,Y,Y,93,0 days 00:06:32,5
ID0179,04-01-2015 09:31,Martha,Toaster,Y,Y,86,0 days 00:01:04,4
ID0180,04-01-2015 09:31,Joe,Television,N,N,0,0 days 00:00:00,0
ID0181,04-01-2015 09:43,Dan,Washing Machine,Y,Y,92,0 days 00:02:59,3
ID0182,04-01-2015 09:43,Greg,Television,N,N,0,0 days 00:00:00,0
ID0183,04-01-2015 10:03,Martha,Air Conditioner,Y,Y,106,0 days 00:05:42,3
ID0184,04-01-2015 10:03,Stewart,Air Conditioner,Y,Y,67,0 days 00:02:44,3
ID0185,04-01-2015 10:27,Jim,Television,Y,Y,90,0 days 00:04:17,3
ID0186,04-01-2015 10:27,Diane,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0187,04-01-2015 11:09,Becky,Television,Y,N,50,0 days 00:03:49,4
ID0188,04-01-2015 11:09,Diane,Fridge,Y,N,89,0 days 00:04:16,3
ID0189,04-01-2015 11:13,Jim,Fridge,Y,Y,74,0 days 00:06:18,3
ID0190,04-01-2015 11:13,Martha,Toaster,Y,Y,63,0 days 00:02:22,2
ID0191,04-01-2015 11:18,Becky,Washing Machine,Y,Y,45,0 days 00:06:31,5
ID0192,04-01-2015 11:18,Martha,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0193,04-01-2015 11:22,Dan,Toaster,Y,Y,31,0 days 00:06:43,2
ID0194,04-01-2015 11:22,Joe,Television,N,N,0,0 days 00:00:00,0
ID0195,04-01-2015 11:32,Joe,Washing Machine,Y,Y,43,0 days 00:03:44,5
ID0196,04-01-2015 11:32,Martha,Television,Y,Y,50,0 days 00:05:42,4
ID0197,04-01-2015 12:02,Dan,Air Conditioner,Y,Y,48,0 days 00:05:12,4
ID0198,04-01-2015 12:02,Martha,Fridge,Y,Y,113,0 days 00:02:44,5
ID0199,04-01-2015 12:15,Jim,Television,N,N,0,0 days 00:00:00,0
ID0200,04-01-2015 12:15,Joe,Air Conditioner,Y,Y,103,0 days 00:06:40,5
ID0201,04-01-2015 12:15,Becky,Air Conditioner,Y,N,95,0 days 00:04:27,3
ID0202,04-01-2015 12:15,Joe,Fridge,Y,Y,30,0 days 00:05:04,1
ID0203,04-01-2015 13:32,Greg,Fridge,Y,Y,124,0 days 00:03:19,3
ID0204,04-01-2015 13:32,Diane,Fridge,Y,Y,17,0 days 00:02:03,5
ID0205,04-01-2015 13:45,Stewart,Television,Y,Y,113,0 days 00:06:00,3
ID0206,04-01-2015 13:45,Jim,Air Conditioner,Y,Y,25,0 days 00:02:27,5
ID0207,04-01-2015 13:56,Jim,Fridge,Y,Y,52,0 days 00:04:22,5
ID0208,04-01-2015 13:56,Dan,Fridge,Y,Y,28,0 days 00:02:44,5
ID0209,04-01-2015 14:25,Greg,Air Conditioner,Y,Y,69,0 days 00:03:05,3
ID0210,04-01-2015 14:25,Martha,Television,Y,Y,106,0 days 00:03:52,3
ID0211,04-01-2015 14:28,Jim,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0212,04-01-2015 14:28,Joe,Toaster,Y,Y,26,0 days 00:04:59,3
ID0213,04-01-2015 14:31,Joe,Toaster,Y,Y,53,0 days 00:05:55,4
ID0214,04-01-2015 14:31,Martha,Air Conditioner,Y,Y,77,0 days 00:04:10,2
ID0215,04-01-2015 14:49,Jim,Washing Machine,Y,Y,45,0 days 00:03:02,3
ID0216,04-01-2015 14:49,Becky,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0217,04-01-2015 15:23,Greg,Television,Y,Y,56,0 days 00:04:16,4
ID0218,04-01-2015 15:23,Stewart,Fridge,Y,Y,13,0 days 00:03:56,2
ID0219,04-01-2015 15:48,Stewart,Fridge,Y,Y,120,0 days 00:06:50,5
ID0220,04-01-2015 15:48,Diane,Toaster,Y,Y,22,0 days 00:00:50,1
ID0221,04-01-2015 16:48,Martha,Toaster,Y,Y,81,0 days 00:03:21,4
ID0222,04-01-2015 16:48,Jim,Television,N,N,0,0 days 00:00:00,0
ID0223,04-01-2015 16:49,Martha,Washing Machine,Y,Y,71,0 days 00:00:48,2
ID0224,04-01-2015 16:49,Stewart,Toaster,Y,Y,75,0 days 00:01:33,4
ID0225,04-01-2015 16:49,Martha,Air Conditioner,Y,Y,77,0 days 00:02:42,4
ID0226,04-01-2015 16:49,Joe,Television,Y,Y,88,0 days 00:06:27,4
ID0227,04-01-2015 17:35,Stewart,Fridge,Y,Y,82,0 days 00:03:05,2
ID0228,04-01-2015 17:35,Jim,Air Conditioner,Y,Y,110,0 days 00:06:30,3
ID0229,04-01-2015 17:39,Martha,Fridge,Y,N,70,0 days 00:01:32,3
ID0230,04-01-2015 17:39,Becky,Fridge,Y,Y,117,0 days 00:03:40,3
ID0231,05-01-2015 09:08,Joe,Television,Y,Y,18,0 days 00:00:50,3
ID0232,05-01-2015 09:08,Joe,Television,Y,Y,113,0 days 00:02:36,4
ID0233,05-01-2015 09:25,Stewart,Washing Machine,Y,N,68,0 days 00:03:29,5
ID0234,05-01-2015 09:25,Greg,Toaster,Y,Y,67,0 days 00:04:14,5
ID0235,05-01-2015 09:33,Joe,Air Conditioner,Y,Y,36,0 days 00:01:07,5
ID0236,05-01-2015 09:33,Stewart,Television,N,N,0,0 days 00:00:00,0
ID0237,05-01-2015 10:00,Becky,Air Conditioner,Y,Y,33,0 days 00:02:30,1
ID0238,05-01-2015 10:00,Dan,Washing Machine,Y,Y,113,0 days 00:01:59,5
ID0239,05-01-2015 10:49,Greg,Washing Machine,Y,Y,106,0 days 00:06:19,3
ID0240,05-01-2015 10:49,Joe,Television,Y,Y,23,0 days 00:04:59,3
ID0241,05-01-2015 11:31,Joe,Television,N,N,0,0 days 00:00:00,0
ID0242,05-01-2015 11:31,Greg,Toaster,Y,Y,11,0 days 00:04:42,1
ID0243,05-01-2015 11:41,Greg,Washing Machine,Y,Y,73,0 days 00:04:45,5
ID0244,05-01-2015 11:41,Dan,Fridge,Y,Y,109,0 days 00:04:49,5
ID0245,05-01-2015 11:49,Martha,Toaster,Y,Y,29,0 days 00:04:14,4
ID0246,05-01-2015 11:49,Dan,Television,N,N,0,0 days 00:00:00,0
ID0247,05-01-2015 11:49,Becky,Fridge,Y,Y,81,0 days 00:01:14,4
ID0248,05-01-2015 11:49,Greg,Washing Machine,Y,Y,59,0 days 00:03:52,1
ID0249,05-01-2015 12:00,Becky,Television,Y,Y,32,0 days 00:06:29,4
ID0250,05-01-2015 12:00,Martha,Fridge,Y,Y,116,0 days 00:00:42,4
ID0251,05-01-2015 12:12,Diane,Toaster,Y,Y,92,0 days 00:01:55,5
ID0252,05-01-2015 12:12,Greg,Television,Y,Y,62,0 days 00:06:02,5
ID0253,05-01-2015 13:04,Joe,Toaster,Y,Y,83,0 days 00:01:53,5
ID0254,05-01-2015 13:04,Joe,Fridge,Y,Y,71,0 days 00:02:31,3
ID0255,05-01-2015 13:59,Greg,Fridge,Y,N,74,0 days 00:04:32,3
ID0256,05-01-2015 13:59,Joe,Air Conditioner,Y,Y,96,0 days 00:05:46,4
ID0257,05-01-2015 14:42,Diane,Fridge,Y,Y,110,0 days 00:01:41,1
ID0258,05-01-2015 14:42,Jim,Television,Y,N,110,0 days 00:02:38,3
ID0259,05-01-2015 15:18,Dan,Air Conditioner,Y,Y,117,0 days 00:03:03,4
ID0260,05-01-2015 15:18,Becky,Fridge,Y,Y,44,0 days 00:05:53,3
ID0261,05-01-2015 15:20,Diane,Washing Machine,Y,Y,47,0 days 00:06:02,4
ID0262,05-01-2015 15:20,Greg,Fridge,Y,Y,97,0 days 00:01:16,3
ID0263,05-01-2015 15:31,Greg,Television,Y,Y,67,0 days 00:02:39,4
ID0264,05-01-2015 15:31,Diane,Television,Y,Y,72,0 days 00:06:48,3
ID0265,05-01-2015 15:31,Becky,Washing Machine,Y,Y,68,0 days 00:04:21,3
ID0266,05-01-2015 15:31,Joe,Toaster,Y,Y,98,0 days 00:06:22,5
ID0267,05-01-2015 15:37,Joe,Television,Y,Y,120,0 days 00:00:56,3
ID0268,05-01-2015 15:37,Dan,Toaster,Y,Y,13,0 days 00:02:33,1
ID0269,05-01-2015 15:44,Jim,Fridge,Y,Y,95,0 days 00:01:47,5
ID0270,05-01-2015 15:44,Martha,Toaster,Y,Y,31,0 days 00:00:42,5
ID0271,05-01-2015 16:06,Dan,Television,Y,Y,113,0 days 00:06:22,3
ID0272,05-01-2015 16:06,Martha,Air Conditioner,Y,Y,116,0 days 00:04:40,3
ID0273,05-01-2015 16:16,Martha,Fridge,Y,N,94,0 days 00:05:29,5
ID0274,05-01-2015 16:16,Martha,Fridge,Y,N,51,0 days 00:04:42,4
ID0275,05-01-2015 16:27,Diane,Air Conditioner,Y,Y,60,0 days 00:04:07,4
ID0276,05-01-2015 16:27,Diane,Washing Machine,Y,Y,59,0 days 00:06:04,2
ID0277,05-01-2015 17:25,Stewart,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0278,05-01-2015 17:25,Greg,Toaster,N,N,0,0 days 00:00:00,0
ID0279,05-01-2015 17:29,Joe,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0280,05-01-2015 17:29,Dan,Washing Machine,Y,Y,16,0 days 00:03:33,4
ID0281,05-01-2015 17:38,Diane,Air Conditioner,Y,Y,81,0 days 00:01:51,3
ID0282,05-01-2015 17:38,Joe,Television,Y,Y,65,0 days 00:06:46,1
ID0283,05-01-2015 17:44,Martha,Television,Y,Y,55,0 days 00:03:04,2
ID0284,05-01-2015 17:44,Martha,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0285,05-01-2015 17:57,Martha,Air Conditioner,Y,Y,31,0 days 00:02:25,4
ID0286,05-01-2015 17:57,Diane,Television,Y,Y,45,0 days 00:05:13,2
ID0287,06-01-2015 09:08,Greg,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0288,06-01-2015 09:08,Stewart,Toaster,Y,Y,43,0 days 00:02:09,5
ID0289,06-01-2015 10:06,Stewart,Air Conditioner,Y,Y,55,0 days 00:05:56,4
ID0290,06-01-2015 10:06,Stewart,Washing Machine,Y,Y,63,0 days 00:02:19,3
ID0291,06-01-2015 10:07,Joe,Toaster,N,N,0,0 days 00:00:00,0
ID0292,06-01-2015 10:07,Jim,Washing Machine,Y,Y,122,0 days 00:05:52,1
ID0293,06-01-2015 10:32,Stewart,Washing Machine,Y,Y,71,0 days 00:02:39,4
ID0294,06-01-2015 10:32,Jim,Air Conditioner,Y,Y,54,0 days 00:04:57,4
ID0295,06-01-2015 10:42,Stewart,Television,Y,Y,74,0 days 00:03:22,4
ID0296,06-01-2015 10:42,Stewart,Fridge,Y,Y,125,0 days 00:04:47,4
ID0297,06-01-2015 11:12,Dan,Toaster,Y,Y,110,0 days 00:03:43,3
ID0298,06-01-2015 11:12,Becky,Television,N,N,0,0 days 00:00:00,0
ID0299,06-01-2015 11:29,Martha,Air Conditioner,Y,Y,74,0 days 00:01:31,5
ID0300,06-01-2015 11:29,Diane,Toaster,Y,Y,80,0 days 00:04:27,4
ID0301,06-01-2015 11:38,Dan,Toaster,N,N,0,0 days 00:00:00,0
ID0302,06-01-2015 11:38,Joe,Washing Machine,Y,Y,110,0 days 00:03:54,2
ID0303,06-01-2015 11:45,Stewart,Toaster,Y,Y,26,0 days 00:03:08,3
ID0304,06-01-2015 11:45,Greg,Air Conditioner,N,N,0,0 days 00:00:00,0
ID0305,06-01-2015 12:05,Joe,Fridge,Y,Y,97,0 days 00:01:47,3
